,tweet
75,A radical way to approach organizational design? @octopus_energy's CEO disusses a company sans #HR and #IT departments #radicaldesign #UK #energy https://t.co/yYl36pBFaK
76,"@karljohnson2886 @Change2Thrive @octopus_energy Why wouldn’t you be with OctopusEnergy and not be on Go or Go Faster,  no company comes close for EVs"
77,@octopus_energy That’s fantastic well done @octopus_energy during these difficult times such a lovely gesture 👌
78,@g__j Congrats @octopus_energy ! &amp; Of course to Laura.
79,@bootlegger1974 @octopus_energy superb service
80,"@octopus_energy I thought letting tigers drive SUVs resided at the very nadir of 'progression', but we're now making octopuseseses supply energy so we can watch porn. Welcome to communism, folks; it begins with our octopods and ends with our kids.

I'm not doing it until I bow to peer pressure."
81,@BulbUK  why is it so difficult to switch from you to @octopus_energy ? ?
82,"@JonBlacklock @energystatsuk @octopus_energy We switched back to self-powered on Tuesday after looking at the weather forecast, even though this morning was close we managed just. Tomorrow is looking better, and we’ve only used 0.3 kWh from the grid since 16:10 on Tuesday. 👍😎"
83,@octopus_energy Lucky her and may I say you increased mine to offer to her ? Thank you so much Octopus 😢😢😢😢
84,@bootlegger1974 @octopus_energy Captain
85,@octopus_energy Well done Laura👏🎉 👏🎉 can I be selfish I wish it had been me getting made redundant soon 😒😒
86,@octopus_energy He was absolutely brilliant! Explained everything fully for me (first time house buyer so clueless!)
87,Love this! 😍😍😍 Congratulations on your 2 millionth customer @octopus_energy! 😎🤜🏻🤛🏻 Keep up the great work! 👌🏻👌🏻👌🏻 https://t.co/7MCvrqlTrs
88,"@MLiebreich @MLCleaningUp @g__j @octopus_energy INTRODUCTIONS/ 
SEE THIS? /
@EVNewsDaily
@BobbyLlew
@The_PlugSeeker

Meet Michael Liebreich, Ch &amp; CEO Of @LiebreichAssoc; Founder @BloombergNEF &amp; Keynote Speaking #EnergyTransition Authority.

Ep 32 @MiCleaningUp In An Age Of #ClimateChange
@Octopus_Energy Ch &amp; CEO Greg Jackson"
89,@octopus_energy email back pls x
90,"@octopus_energy I've heard from some sources that you no longer fit them, others there's a waiting list etc etc."
91,@BulbUK the only unicorns you need to worry about are the ones that screwed up my Dad’s transfer to @octopus_energy https://t.co/fE6QBeA9vJ
92,"Noted: avoid @octopus_energy.
https://t.co/mrMX5EyrDU"
93,@octopus_energy @CraigLiamJones My little girl lives her 🐙(she of course needed the big one) she calls him candy cane (he arrived at Christmas time)!
94,This is wonderful. Well done @octopus_energy 🙌 and congrats on this amazing milestone. 🎉 https://t.co/l32XWQuiVn
95,Just sat down with a rum and coke.(I allow myself one on thursday) and came up with Octoshine! I was looking for a word that sums up how knowing @octopus_energy has hit 2 million customers makes me feel! 💯 octoshine today it’s been a lovely 💚🌏 ☺️ day! https://t.co/wzMY2NRNnt
96,"@douglewinenergy @NRGMauricio @WSJ While I can't comment on legacy or traditional retailers, new challenger brands like @octopus_energy and @OctopusEnergyUS are relentlessly focused on lower costs and world class customer service.  Modern retailers will disrupt this industry and accelerate decarb at lowest cost."
97,"@g__j @genius_learning @dougalshawBBC @octopus_energy Cheers Greg!  It has been inspiring to see Octopus Energy grow - I still remember the first time you showed me round the first office (in Soho) &amp; the huge focus on customer service.  I don't know what's wrong with Twitter, but you are an inspiration to me and many, many others."
98,"I could listen to @g__j all day enthusing wildly about technology, architecture, @octopus_energy customer growth, price signals, Agile, Go, renewables, machine learning, future electrification of energy &amp; much more. This podcast is a highly recommended listen. 👍 @energystatsuk https://t.co/FF8G2fZsZi"
99,@octopus_energy Done
100,@octopus_energy @mdtipping Oooh   you must have been very close to this
101,@kenbone44 @MLCleaningUp @g__j @octopus_energy Must have got lost!
102,@octopus_energy thought I was doing the right thing changing to you. ??
103,@octopus_energy I was due an octopus toy. Was hoping it would have come by now for my little girl 😊🤞🏻
104,@MLiebreich @MLCleaningUp @g__j @octopus_energy Is the invite in the post.🤔😁
105,"@kenbone44 @MLCleaningUp @g__j @octopus_energy Thanks Ken! If you like the back catalogue, just wait until you see who we have lined up through to summer and beyond!"
106,"@octopus_energy About £1200 unless she has an electric car, which from what she says of her circumstances seems most unlikely. So hardly going to make a blip on octopus figures! Also no such thing as green energy, just pollution elsewhere."
107,@Robclements5 @MLCleaningUp @octopus_energy Thanks Robt!
108,@energystatsuk @octopus_energy Strange midday hump
109,🌍Excellent podcast from @MLiebreich @MLCleaningUp how @octopus_energy “walking the walk” to democratise and digitalise the electrical energy market #CustomerFocus https://t.co/RWAyuMIlMH
110,@Change2Thrive @octopus_energy Good customer service is SO important....Octopus have been spot on since my move to them
111,"@g__j, Founder &amp; CEO of @octopus_energy tells @MLiebreich how he understands his customers' needs and how to get cheaper renewable energy 🐙

Listen &amp; watch now 🎙️
YouTube: https://t.co/jhqub8CYtm
Spotify: https://t.co/0EbcSIynRZ 
Apple: https://t.co/xhLzAscFM4 https://t.co/zRroyjVrjK"
112,@octopus_energy This is awesome
113,@EVPuzzle @octopus_energy Midday sunshine dip is back :)
114,@jcbing @octopus_energy @BulbUK Just switched to Octopus
115,@MLiebreich @MLCleaningUp @g__j @octopus_energy Great @MLiebreich another good podcast to listen too and your back catalogue of episodes. 🤣🤔😉
116,"@octopus_energy Agile energy rates are cheaper tomorrow during the day than they are tonight 🤔. Haven't seen that lately.

Must the warm sunny weather ahead🌞

Will GO customers will be thinking about swapping to Agile soon? https://t.co/vhQQby5lxl"
117,@Zarch1972 @energystatsuk @octopus_energy Keep the faith Mick. It will come just keep plugging away like the rest of us
118,@Zarch1972 @energystatsuk @octopus_energy Yes but the simple inputs and predictions will at least allow those without API integration to make their plans to shift usage/ charging etc. There’s something there that can be useful
119,"@JonBlacklock @energystatsuk @octopus_energy I've got it talking to OctoLux, so it's inverter specific. That's problem, all of this is closed shop. The whole scene is crying out open API &amp; someone to take on creating an open source control package. I talked about this a year ago with little success. https://t.co/dnG9i4Kw0O"
120,"@g__j @octopus_energy Depending on how young her kids are, some of the soft toy octopuses (octopi?) might be an additional lovely gesture :) - you guys are great!"
121,@Zarch1972 @energystatsuk @octopus_energy Then your usage/ battery capacity and it recommends slots on Agile to top you up if necessary. Nice add on to Octopus Watch or other tools
122,"@Zarch1972 @energystatsuk @octopus_energy Your next business opportunity OctoSol. Enter in your postcode, approx angle, direction &amp; capacity of your array"
123,"@Change2Thrive @octopus_energy I'm not with octopus energy but any questions I've had, I've just DM them and get the answer straight away. They have also been honest too to the questions I've asked. 
try getting honesty with any other energy suppliers"
124,@octopus_energy So it's free EV charging at Laura's house! Hope she's got a big drive for all her new friends 🚗🚗🚗🚗
125,All this Twitter love for @octopus_energy makes me so jealous 😬 I’m desperate to switch to them but until @BulbUK fix my smart meter (issue ongoing since last June) I’m unable to switch 😭 #BULBprisoner 🐙 #RipOffBritain
126,@JonBlacklock @energystatsuk @octopus_energy I've been playing with some new scripts I've written to get tomorrow's solcast PV forecast and only charge the batteries overnight enough to get me through breakfast and to first decent bit of generation. 😊
127,"@octopus_energy Really wish I could join the party, any ideas when you might be supporting economy 10 meters ? https://t.co/nIrVRCQInY"
128,@octopus_energy Any updates on the 3 phase smart meter rollout? Is it dead in the water now?
129,"@octopus_energy I referred @Rhomain to you on the basis of your amazing service, prices, and smart tariffs, and yet you’re failing to deliver on all fronts by the sounds of it! You’re making me look bad recommending you.... please sort the issues out and restore some faith"
130,@octopus_energy So Laura signed up to Octopus knowing she was moving out and would ultimately have to cancel in the near future… hmm… 🧐
131,@octopus_energy @Rezargh don’t you wish they’d let us win something like this 😩
132,@octopus_energy don't forget you can join @octopus_energy  and split £100 https://t.co/NFPtKagLSQ and have #green #renewable #energy
133,@redtop63 @carkedit @octopus_energy I think we've run out! But more are on order... keep an eye on the twitterz!
134,@energystatsuk @octopus_energy Moved to agile two days ago after our smart meters finally started reporting. Next up solar panels.
135,@octopus_energy This is why you are the best energy provider! 😊💚
136,@carkedit @octopus_energy I'd be happy with one of those pink octopus toys 🦑
137,@octopus_energy @redtop63 you were so close!
138,"@Change2Thrive @octopus_energy We’ve been with them for a while, brilliant company."
139,Switched to @octopus_energy today.  Fab customer service already. An emailed query was answered within 4 minutes!
140,"@JonBlacklock @energystatsuk @octopus_energy yup, ive been self powered for a couple of days and am dodging the peak no problem - looks good for the weekend!"
141,"@g__j @octopus_energy @OctopusEV Top guy writing that ""HR depts"" are not needed. 
Could not agree more. 
Well said from one of the few companies that pleased me this year: @octopus_energy 
Wish more firms like this ...and no ""CoronaSpiel"" either pre-excusing poor service at Octopus help lines.
Well done!"
142,@WorldofGoodBook @LukeKyte101 @octopus_energy Maybe he doesn’t know about them...
143,@energystatsuk @octopus_energy Thinking I may go self powered until the weekend based upon the PV performance today. Probably didn’t need the 6kW from the grid in the early hours. https://t.co/u0QOKdcqMy
144,@octopus_energy can I ‘delay’ a switch to coincide with when my existing tariff ends?
145,@energystatsuk @octopus_energy Looks like solar is having a bigger influence on tomorrow's electricity instead of wind. I expect my Sunamp will get filled via our own Solar PV.
146,@energystatsuk @octopus_energy Peak rate “ slightly better “ &amp; slightly more expensive average compared to yesterday.
147,@energystatsuk @octopus_energy Cheaper tonight than overnight ⚡️🔋
148,"National average pricing for @octopus_energy Agile Tariff on Fri 26-02-2021

Min: 9.4p (15:00)
Max: 32.5p (18:00)
Average: 13.4p
Av Excl Peak: 11.3p
Cheapest 4hrs: 9.6p
Peak Time (1600-1900): 27.8p

Find graphs &amp; pricing for all 14 UK regions via https://t.co/mnmMP2lfQX https://t.co/r6Y7SlyWmw"
149,Olly loves his pink octopus from @octopus_energy 🐙🐶 https://t.co/ykfM38aLXu
150,@pilgrimbeart @MLCleaningUp @g__j @octopus_energy Thanks Pilgrim! And I trust you are well.
151,@g__j @dougalshawBBC @octopus_energy So neither your outsourced Human Resources team (Curve) nor your internal talent management teams have any rules or procedures or anything to go by?
152,Press team @octopus_energy high-fiving one another at this unexpected turn of events https://t.co/D0tgEiHVBQ
153,"@octopus_energy @SureserveGroup @GOVUK @WhichUK @MartinSLewis @ofgem @MoneySavingExp @TheFCA Thanks for your help, hopefully it'll get resolved."
154,"@YourSSE you asked me to engage via DM = zero response. After 8+ weeks of unacceptably poor customer service and even a price hike notice yesterday whilst failing to show up to a booked appt 😡, you have succeeded in creating a fresh new customer for @octopus_energy #energy #uk"
155,"@octopus_energy Ok. Even if we didn’t choose to “switch” to Eon, it was forced upon us by the closure of GNE?"
156,"@octopus_energy I was a customer of Green Network, and being transferred to Eon I believe. Can I start a switch to you now, whilst still being on boarded to Eon? Thanks"
157,"@octopus_energy @SureserveGroup @GOVUK @WhichUK @MartinSLewis @ofgem @MoneySavingExp @TheFCA I've already called &amp; emailed ur agents but they can't give me a repair date! I rlly wish I'd never had it installed tbh, more hassle &amp; stress than worth! Also, giving gas &amp; electricity readings is completely against the point of getting a smart meter installed2save time &amp; money!"
158,"@octopus_energy CEO @g__j describes why he decided not to have an HR or IT department. Firms advertise for 'creative and passionate people' yet drown recruits in bureaucracy. 'The most important thing a company can do is free them up'.
#reinventingwork 
https://t.co/cmrsrAuqJU"
159,"@octopus_energy just switched to you from bulb - but for whatever reason our smart meter isn’t reflecting useage from gas only electric. 

Why? Is this a faulty meter or do we need a smart meter from yourselves?"
160,"@Moorideastheme1 @GoldmanSachs @Rivian @Tesla @octopus_energy I could not have put that better. Yes. 100%. It will never be in the public domain but there will be a significant talent drain as a consequence. Brilliant people want to be around brilliant people, &amp; leaders who want to put them in traffic jams &amp; waste their time isn't that."
161,Hey @pydanny the CEO and founder of @octopus_energy  is taking innovation to a whole new level in more ways than one. Brilliant! I see why you are so excited to work there https://t.co/SlaYWUVNpU
162,@MLiebreich @MLCleaningUp @g__j @octopus_energy Really worth watching
163,@octopus_energy Thankyou
164,"@CloudBusiness9 @GoldmanSachs And people wonder why companies like @Rivian @Tesla  and @octopus_energy are so successful. They disrupt, they challenge the status quo and they are not afraid to think outside of the box."
165,@StreetOperator_ @octopus_energy agreed x
166,4 days without a smart meter! Why are @octopus_energy being allowed to fit faulty smart meters by #providor @SureserveGroup to hit @GOVUK installation deadlines during #Lockdown4 #COVID19 risking our health? @WhichUK @MartinSLewis @ofgem @MoneySavingExp @TheFCA https://t.co/oLGesWmfol
167,@matt_bromage @BritishGas @eonenergyuk @octopus_energy Will have a look. Anything but the big 6!
168,@CllrJamesDawson @BritishGas @eonenergyuk I’m with @octopus_energy and they’re fab. Great customer services too
169,I feel like I fan girl far too much about @octopus_energy but they really are amazing! 🐙 and the engineer who is out sorting my gas and electric this afternoon is fab!
170,"What #startups should look for when they want to grow and drive the #EnergyTransformation wave. Enjoy the @EmeraldVC panel at the last @StartUpGET with Christoph Frei, Philipp Hassler, Frank Balas, May Liew of @SPGroup &amp; Tim Heal of @octopus_energy.
Watch: https://t.co/YjjgSKz68d"
171,"@octopus_energy pretending they don't have an IT team has seriously made me reconsider them as the current top option for our energy provider when I move into the new apartment with my partner next month.

#octopusenergy"
172,"@octopus_energy DM sent, thank you"
173,"@octopus_energy Hi I have left this for 24 hours after a reset as instructed in you DM to me, but it is still not working any other ideas? And I can’t get it any closer than shown in second picture. https://t.co/GakurUWRqF"
174,"Well it is! :) @octopus_energy really are a customer-to-supplier *partner* as we head into the energy transition, against the backdrop of the climate crisis. Good business isn't all about wealth extraction but is building a shared future in which we can all prosper @MLiebreich"
175,"@octopus_energy Hello, its been 48 hrs and I have received no reply to my email. I have bought a house and wish to register my details please. Can you contact me? Address is Swansea SA5 7AY"
176,@SGNgas @octopus_energy Can you sort this out please? Your advisor has told me incorrect info twice now. Really painful for me.
177,@octopus_energy Thank you. It makes my week speaking to these senior citizens and as you can imagine some are very not tech savvy so I'm glad to help them out. I've been explaining Twitter to them this afternoon.
178,@evmanuk @octopus_energy @g__j It's not the whole IT department you need to lose.... Just keep the techies
179,@sophcun @octopus_energy I swear they all say they're the best energy provider and on fact they're all leaching shits
180,@octopus_energy Thank you for your speedy response. I'm on the phone to my lovely lady now so I've passed it across. I hope you can help her when she calls.
181,"@KeeleyJoan @octopus_energy I'm sorry to hear this Joan. If you need any assistance, please dm us and we can take a look. Many thanks"
182,@edfenergy You've sent me a SIXTEEN PAGE letter threatening legal action when I've just switched to @octopus_energy &amp; have already contacted you about the outstanding amount &amp; was told to wait for my final bills which tell me to pay by 3rd March? Not acceptable on so many levels!
183,"@octopus_energy - one of the elderly ladies I look after in my volunteer work is trying to get hold of you. She needs a number to call, please can you DM me with a suitable number. She's a little bit distressed so a quick response would be great. Thank you."
184,Fantastic. This is why @octopus_energy is the only company I look forward to getting bills from! https://t.co/xPMjdjmSCx
185,"There's still time to sign up ang get a £50 credit on your account and donate up to £50 to @Rockinghorse if you switch to @octopus_energy. It's really easy, just use the link on our website here: https://t.co/yvaQ0VyoFl https://t.co/Z5LugNbdZW"
186,@SGNgas Hi - I've called my supplier @octopus_energy and they are telling me *you* need to cap it first as they won't be able to do that. So what now?
187,@octopus_energy @Scott_Helme will do!
188,"My guest on episode 32 of @MLCleaningUp is @g__j, CEO of @octopus_energy. Remember all those conference sessions about the utility of the future? Well Greg skipped them and just built it. This is required watching/listening, wherever in the world you are! https://t.co/ifoUSUgcH8"
189,"imagine @octopus_energy tryin to charge us £140 for a bill, despite us paying £124 just 11 days ago. scamming poor people in a pandemic??? lmao best energy provider my arse"
190,"@octopus_energy She’s coming to work with me, what an exciting adventure it will be 😅"
191,@octopus_energy Just realised you've sent me my bill and I was pleasantly surprised see that it has gone down from the previous month. Thank god for the smart meter. You only pay for what you use 🐙
192,@LTS_83 @octopus_energy They seem to be having tentacle problems mate... 👀🤦‍♂️
193,"@pwel11 @octopus_energy @YourSSE Paul - seriously don't do it. @YourSSE customer service is diabolical. Week to acknowledge DM's, phone calls cut off and three promises to ring back not done, two engineers appts requests let down."
194,@15minutegamer @octopus_energy There’s a form you fill out on the website somewhere
195,"Any @octopus_energy agile users making use of the 'PV tuning' part of the API from @solcastAPI . It's going away!
https://t.co/c5QSCVriCJ"
196,Wondering what has come in the post for me. Yey! Thank you @octopus_energy https://t.co/BFJuPIRvqb
197,Apparently @octopus_energy decided to skip creating HR and IT departments because the CEO thinks they could infantilise capable adults: https://t.co/423sD2Wvz4
198,@octopus_energy looking to  possibly transfer gas/elec to you but interested in viewing your smart app &amp; online account info but obv don’t have account yet. Is there anywhere to view dummy info?
199,@octopus_energy after speaking to you twice this week you’ve now sent me a third bill. You amended my bill after you inflated it incorrectly but the amount shown on the bill does not match the amount due on my account. Can some please alter this for me to show the correct amount
200,"@Scott_Helme FYI, if anyone's interested (don't blame anyone who isn't!) I'm planning on getting the relay wired to my Immersion, so that when @octopus_energy Agile rates are at their really low rates, it will heat the hot water (instead of Gas) and see what, if any savings I might get. 🤞"
201,@SnellingDean @octopus_energy I didn't even know that was a thing 👀
202,"@SnellingDean @octopus_energy High over christmas but much cheaper over the year, but it seems that big rises are happening in the market for both gas and leccy."
203,"@WorldofGoodBook @octopus_energy I’ve been happy with Bulb, cheaper than average, and 100% renewable, simple single tariff, simple apps that work.  https://t.co/2fa5cbkC3M"
204,"In an uncertain climate @OTFbrighton tries to give something back to our supporters so we've partnered with 
@octopus_energy 
 
You receive £50. We receive £50
They are 4x @WhichUK recommended suppliers
Visit https://t.co/LludVSNspg
See what you can save by doing a power of good. https://t.co/FSkKwLyhNh"
205,"Yesterday was warm enough for my new battery install to last me through the day after charging off-peak on @octopus_energy GO 🥳

ASHP being a big consumer, temperature is a huge factor. See you in November, peak tariffs! https://t.co/fqfcK1GHLz"
