,tweet
84,Can I still get the goal animal link? I missed it last week?🥺 @mindvalley
85,"@BasicProductive @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Thanks buddy,sad very few people in Twitter are aware about that."
86,@NicoJamesBCN @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley You will love there content Nico 👊🔥 try it out.
87,"@johnnypapes @chainbreakeer @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley I'm trying to read the whole book!
https://t.co/Yuh1tcKvr2"
88,@chainbreakeer @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Will do Chain! Thank you!!
89,"@chainbreakeer @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Matt D'Avella and Thomas Frank are so good! 

Their videos are fun to watch and have good content!

100% like!"
90,"@johnnypapes @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Wow,thats a nice habit 👍"
91,@chainbreakeer @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley I read Think and Grow Rich everyday.
92,"@chainbreakeer @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Totally agree, the more information the better. I was just watching John Rohn so ready for another drop motivation."
93,"@ApprovedSide @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley There is no growth if you only stick to the known circles, check out their youtube channels. You won't regret ."
94,"@chainbreakeer @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Gary knows his audience!

The others I'm curious about Chains 🔗"
95,@SanthiranSinth2 @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Thanks buddy👍
96,"@chainbreakeer @garyvee @mattdavella @TomFrankly @RobinSharma @mindvalley Thank, awesome list"
97,"How to watch Youtube every day and feed your mental diet?

FOLLOW

1.@garyvee  - Entrepreneurship | Career
2 @mattdavella - Minimalism | Productivity
3.@TomFrankly - Time Management | Productivity
4. @RobinSharma -Motivation | Leadership
5.@mindvalley - Brain power |Manifestation"
98,@mindvalley Create a knowledge seeking society
99,@mindvalley My mission is to save one million lives from burnout.
100,"Ok fine @mindvalley I will buy YouTube premium to stop your ads ..
Damm man there should some limitations on , number of time a particular ad be shown @YouTube"
101,"@mindvalley Be well from my illness, and find happiness in my life again. New job or education is a mission i have to fullfill."
102,"@mindvalley My mission is to teach mindfulness, breathwork &amp; embodiment to as many people as possible in order to facilitate growth &amp; empowerment so they can lead joyful, fulfilling &amp; thriving lives."
103,@mindvalley your products are too expensive for the Indian market. I understand the products are niche and demand a premium. But growth that comes with such a high cost in unattainable.
104,"@mindvalley @Vishen Also I know the ""Revolutionary New Education Infrastructure System"" which can just provide Quality Education to all the people at Damn low price. So plz help me in Developing myself to the Greater Limits."
105,@nataliemonaco1 @JayShettyIW Of course Jay Shetty's and I do really like @mindvalley @Vishen 's podcast.
106,"@mindvalley @Vishen @mindvalley @Vishen Also I'm attaining free masterclasses from while because I can't afford your premium plans. I am mad for learning new things just I'm not getting proper platform to ""Learn"" and ""Practice"" new skills.If you can help me then it will be Turning point for my life."
107,@mindvalley @Vishen To build an Aerospace startup building revolutionary rocket.I'm working on that along with my study from about 3 years from 10th Std. &amp; gaining more knowledge about Finance and Rocket Science free of cost from social media. See more in thread👇👇
108,@mindvalley Making inspiring content in a YouTube channel which would give people the motivation to turn spiritual.The world will only change if more people becomes spiritual.
109,@Vishen @Vishen powerful mastermind summary of the exceptional Be Extraordinary Quest you teach @mindvalley Twitter land fav's offer this to your loved one on St-Valentine &amp; share in the gift of experiencing 'your wildest dreams' besides romantic day &amp; s*x :) Enroll get live bonus &amp; more
110,@mindvalley Peace love and happiness in the world
111,You know we’re in 2021 when you come across #YouTubeads that successfully convince you lookup flights for Columbia to do #ayahuasca @mindvalley @mindmedco #psychedelicmedicine #culturalintelligence #mindmed BE HERE NOW @ChooseMuse 🧠 🌊 https://t.co/EdwpCDj5xs
112,"@mindvalley An app or a website basically a network supported by the Internet, where people who have a childhood dream of making the world better but feel alone &amp;, therefore, hopeless could use UNITY as the power to 'Share Ideas, Implement Ideas, &amp; Change the World!"
113,"@mindvalley @Vishen @YouTube 
Hey Vishen i am really annoyed of your Mind Valley Paid ads on YouTube. Anything I watch Mindvalley pops up. 

If one is interested they will watch your videos why do you persuade people."
114,"The first thing I did to recover my inner spark is look at my morning routine. @mindvalley There are 5-10 minute morning workouts, there are 5-10 minute meditations.
#backfromflat #selfcare #selfhelp #inspiration #motivation #motivateme #lynetterenda #motivatemewithlynetterenda https://t.co/uFjA8nQNXZ"
115,@mindvalley Agree
116,"The latest episode of @mindvalley is trending on the Indian https://t.co/p0GFOdZ6FG charts today

@Vishen sits down with the ""Growth Guy"" @agilescaleup if you are an entrepreneur looking to grow you business this is a must listen

Go check it out

#podicon #podboard100 https://t.co/N9iA0pvlkh"
117,"Experience the life of Mr.  @Vishen Lakhiani  Who grew his abilities to the greatest extent &amp; touching the lives of millions through  @mindvalley the World’s largest training academy.

Watch the video 👍 - https://t.co/3nO6t59akI

Thanks a lot, Like, Share &amp; Subscribe our channel https://t.co/K3QwvsmM8e"
118,"If you are a member of @mindvalley.university @mindvalley , tune in tomorrow for my Kettlebell Workout for Your Home class from 7-9am PST tomorrow, Friday, Feb 12. #mindvalley #kettlebell #fitness #athome #ikff https://t.co/e77263tbbw"
119,"Shout out to @jimkwik - I took your #SuperBrain course on @mindvalley in December and I really wanted to connect to languages this year. 6 weeks in 2021 and I've added:

* 100 words in English 
* 75 words in Māori
* 50 phrases in 🇪🇸🇵🇹🇫🇷🇮🇹🇩🇪🇦🇪🇨🇳🇯🇵🇬🇷

🙏🏿🙏🏿"
120,Ok. @mindvalley can you stop being so irritating. Fed up with your BS ads on YouTube
121,"Turn your fear into courage and start pursuing the goals that really matter to you. @mindvalley @XenionMedia @mindvalley talks 
#goals #passion #mindvalley #xenion https://t.co/ygZAHOiLUU"
122,Feel the energy of possibility and personal growth @mindvalley @Vishen https://t.co/Jwi7pUUg1T
123,"“If you really want to move into your power and be reunited with your true, badass self, you’ll have to unlearn what society worked very hard to instill within you.” Excellent article. @mindvalley https://t.co/rgj7nFBdOZ"
124,"The Code of the Extraordinary Mind
VLOG summary just out

​What you think is what you get so take care of your mind, not just your body! 

@mindvalley @Vishen
#YouTuber 

https://t.co/nzeQcdPvgz"
125,"Just by traveling and meeting new people can create fulfillment and purpose in your life.

It is always amazing to connect friends with one another that you’ve met at two completely separate moments in your life.

Listen to my @mindvalley episode: https://t.co/zQeeFjcMrn https://t.co/COwkf5BE7g"
126,@mindvalley Why is the class 90 minutes when you say you only need to exercise 15 minutes 2x week?  Something is not adding up.
127,"@mindvalley Ok. 
So everything is not always alright.

But 
with enough time, insight and hindsight, 
you'll find that 
everything always turn out alright. https://t.co/wktno5H2rI"
128,@mindvalley Great to hear that Mind Valley has opened up a special website for India. #MindValley #India
129,@Karabo_Mokgoko #KaraboHits2million @mindvalley a lot more SAns need to be exposed to this type of content 🤞🏿🔥
130,"Some say humans are on this planet by chance and if the KT event didn't occur this planet will still be dominated by Dinos.I happened to watch the first @ShiHengYi video by accident https://t.co/nhZLrW3BOo amazing is https://t.co/HKtfTYMbba ulterior motives.
@mindvalley #Invite"
131,"Watch ""Can you #Hack Your #Biological Age? | Ben Greenfield"" on @mindvalley https://t.co/KlbB8wxWmx compelling micro mistakes in assuming how the body absorbs nutrients, ruining the overall strategy #health https://t.co/WIwQcshyXG"
132,@mindvalley Are all books equally worth reading? Why don't we have a K-12 National Recommend Reading List? https://t.co/mYamuIL75G
133,"As rightly said by @Vishen

""Priyanka chopra is the most famous Indian woman in the world right now""

Loved your interview with @priyankachopra

@mindvalley https://t.co/oMhzPVqV6b"
134,Fascinating interview in progress by @priyankachopra and equally brilliant interviewer @Vishen from @mindvalley  Striving for excellence and Being a life long learner. And a wonderful new book. Certainly a beauty with the brains to match. @aadhithya_a  hope you are watching. https://t.co/rpGFJyULP3
135,".@priyankachopra for @mindvalley 

link:https://t.co/r9zXKYhujI https://t.co/15JpXtPzWz"
136,"@mindvalley Can do 20 pull ups with my skinny arms, BMI of 21 at 65 #Biotensegrity over hypertrophy any day. Body tone and shape is on smooth muscle that circulation and weight-bearing forces nurture. Stop beating yourself up to be well. #NoProteinPowder #Longevity"
137,"Best-selling Author &amp; world-wide Photographer, Christine’s work has been in magazines including @people @usweekly Her authentic style has attracted celebrities such as Clint Eastwood @PierceBrosnan @JaneFonda @AOL @Appirio @mindvalley 

Catch her live: https://t.co/uVibvcO5RV https://t.co/skrRobquhJ"
138,@Sanyamlodha66 @Vishen @mindvalley Are u a politician?
139,@Sanyamlodha66 @Vishen @mindvalley They can be politicians. Bt not Leaders sir. Leaders are teachers like you. Sir
140,"“It’s common in the world today for politicians to gain support by creating FEAR of another group. The Jews, the Muslims, the Christians, the Mexican immigrants, the refugees, the gays are all BLAMED in one country or another by a POLITICIAN seeking VOTES”

@Vishen @mindvalley"
141,@gaganbiyani Check out @mindvalley led by @Vishen. Transforming education through world class online content created by the best teachers in the world.
142,"Read this book in the past month. Its drives home the message more with @McConaughey conviction. Have a peek and decide for yourself. @mindvalley 

https://t.co/adu5FAZU38"
143,"Are you managing your psychology?

Check out the @mindvalley Podcast with @jascampbell17.

👉 https://t.co/vkas6q6qSD

#vancouverbc #leadership #makingstrategyhappen https://t.co/XOLlmfN0XJ"
144,@mindvalley Please ask her: What is Manuwadi supremacists? Who are brahmin opportunists? How did it deprived millions of poor people and lead to ditch Gandhi's India? How can she play role to remove 80-90% reservations of supremacists in India?
145,"I think @mindvalley should allow family packs. It's basic to have multiple profiles like netflix. Encourages communal growth, cooperation and a richer experience than solo work."
146,@mindvalley @Vishen Vishen gonna be in a Bollywood. Movie.
147,@mindvalley hey guys! Does all programs like Wildfit and Lifeboon get included when I get ALL ACCESS on Mindvalley? Appreciate the answer!
148,Got my daily 10min reading exercise☺️ @jimkwik @mindvalley #superreading https://t.co/XtGkXMQgt5
149,"In May 2018, we launched our first product- @SparkChatMv, an informal fireside chat- where we got the team from @mindvalley &amp; @LottieFiles to share &amp; talk about the Startup Culture &amp; interact with enthusiast from Maldives &amp; engage in a conversation. https://t.co/DH96th6gRT"
150,@SarahJanes77 @KenTremendous @TheGoodplace @TedDanson @Medium @TheGoodPlaceFan @tgpfans @LociMethod @ArtoftheMP @howtolucid @DreamScholars @HaveLucidDreams @brightmindsbio @mindvalley thank you
151,@gethynwilliams @KenTremendous @TheGoodplace @TedDanson @Medium @TheGoodPlaceFan @tgpfans @LociMethod @ArtoftheMP @howtolucid @DreamScholars @HaveLucidDreams @brightmindsbio @mindvalley If you would like to learn the technque: https://t.co/RkOrHIErs4
152,"@SarahJanes77 @KenTremendous @TheGoodplace @TedDanson @Medium @TheGoodPlaceFan @tgpfans @LociMethod @ArtoftheMP @howtolucid @DreamScholars @HaveLucidDreams @brightmindsbio @mindvalley seconded! can you say some more about Memory Palaces, or direct me to resources to explore?"
153,@mindvalley seriously your fu**ing adverts. Its ego when the CEO also poses in his own adverts... and this is meant to be about self improvement. What? When your ego means you have to control everything? 😂
154,"Hey @Vishen can we get an Android tv app for @mindvalley 
Would be a great source for family learning."
155,"@mindvalley @ericedmeades
Good luck to all those embarking on the #WildFit Quest starting today. 
I did it last year - it's a great journey!"
156,WildFit Week 1 Day 1 👀 @mindvalley https://t.co/K8fgGhP7RQ
157,"“The shadow will only give us what we are ready for. The shadow is not there to destroy us, the shadow is only there to make us wake up” powerful stuff @charliemorley1 at @mindvalley"
158,Altered States rock @mindvalley love your work
159,@RoknRob121 @Sheearyann @maikalepomai @mindvalley Ooh interesting
160,"I have completed Creating New Possibilities on Quests by Mindvalley.
https://t.co/VBXsFS63mZ ⁦@KenHondaHappy⁩ #moneyeq @mindvalley https://t.co/8mRzXzpgf6"
161,@priyannkshrm @mindvalley Hahahah this comment is SO Priyank 😂 That energy is already a mood lifter for me!  ❤️❤️
162,@lotey_anubhav @mindvalley Thank you Anubhav ❤️
163,I’m here if anyone is interested in discussing these topics. #selfcare #wellness #wellbeing #empathy #compassion #Mindfulness #Mindfulnessatwork cc: My training partners: @MindfulBrown @BensonHenry @ArtofLiving @mindvalley  @MindfulSummit
164,@upasanaray1 @mindvalley Very happy to hear this. Congratulations Upasana :)
165,"Going for a #walk or drive this weekend? Here's a fun #podcast to listen to. @Vishen Lakhiani  @MindValley and I enjoyed discussing how to continue to be kind, collaborative and proactive in our #communications - even in  stressful times https://t.co/y7RCP28uFX #SamHorn #TongueFu https://t.co/L6XbbPD0V2"
166,"🏮 ATTENTION #Twitter Users:

 WHY DO YOU WORK SO HARD? 🤔

What are you trying to achieve in life?

Just curious to know🌟

CLICK HERE 👉 https://t.co/9eN0XK8ipq

@clickfunnels @russellbrunson @DanLokofficial @mindvalley @Vishen @realjimedwards #motivationquotes  #Mindset https://t.co/rPUp7bLQIB"
167,"Watch ""The Physics of Spirituality | Nassim Haramein with Vishen Lakhiani"" on YouTube @mindvalley
https://t.co/1HfjEstnVJ"
168,"@upasanaray1 @mindvalley And story telling. 
okay. this was last."
169,@upasanaray1 @mindvalley Exciting newss! Congratulationss Upasana!! I'm just imagining the creative exposure and brand aesthetics and colours and strategy and music and numbers and reactions *sigh* hahaha okay I need to stop. Havee fun!! ✨
170,"Excited to start my masterclass with @KenWilber_botJP with @mindvalley 
The future of education #wellness #Wellbeing https://t.co/LOyDtUCJ9c"
171,@theayushag_ @steven_kotler @hubermanlab @jimkwik @mindvalley Maintaining flow.
172,"@mindvalley And the Live Session conducted on 4th Feb. 2021 was awesome. Your are incredibly perfect version of yourself. your voice, attitude, vision....everything about you is so perfect Vishen."
173,@mindvalley Hello. I have problems with my all access and the support and forum in the site are not useful at all. Never answers. Can you help?
174,"@mindvalley @McConaughey @Vishen Talk about a man that is operating at a beautiful #frequency, full of #gratitude and enjoying the #journey https://t.co/jRgSWLpl1b"
175,"@charliemorley1 @mindvalley https://t.co/MbYtYw7WSy

How come I keep seeing traveling over oceans everywhere, the most intensely blue colored waters and skies that are SO INTENSE I would have sworn I got an inbuilt, extremely advanced black equalizer? It's startling, almost to the point of frightening."
176,"Hi @mindvalley team ! I love your inspirations and programs, but I am unhappy about customer service. I have a pending issue since 4 days regarding my All Access Membership that has been suspended. Can someone pls get back to me about this ? Thanks for your feedback"
177,"@charliemorley1 @mindvalley https://t.co/MbYtYw7WSy

How come I keep seeing oceans everywhere, the most intensely blue colored waters and skies that are so intense I would have sworn I got an inbuilt, extremely advanced black equalizer? It's startling, almost to the point of frightening, actually."
178,"@charliemorley1 @mindvalley Yeah, but I've arrived a places that aren't even a dream anymore due to increased realism that seems to amplify itself like 700%+, and further. I know now one could actually travel beyond dream environments and enter parallel dimension or universes...through the medium of dreams."
179,"Many are speaking, but few are listening🗣

Keep pushing out your awesome content😃

I 100% guarantee you will gain traction, and BLOW UP💣

Click Here To Attract More Fans Today👇
 ➡ https://t.co/Zvis9GvwA2

@DanLokofficial @russellbrunson @realjimedwards @mindvalley @Vishen https://t.co/HB8ajU3u6u"
180,"A little clip from the first edit of the upcoming @mindvalley Lucid Dreaming Quest launching  on 22nd February!
#mindvalley 
#charliemorley https://t.co/diNJ5BjfmG"
181,"I recently discovered @mindvalley I'm amazed by how much it complements my personal development. AND I found my ideal job! I hope be part of such an amazing team and work with great minds like @Vishen 
Get inspired by them like I am!
https://t.co/1VfPBkkHBa"
182,"Just a 90 min distraction free work/learning session can set you in flow. 

Trust me, it feels sooo good. 

@steven_kotler @hubermanlab @jimkwik @mindvalley"
