 ,tweet,"HUMAN CATEGORY
 ARYAMAAN:1-1000,4000-4468
 Michael-Mehmet:1000-4000",SUB CATEGORY,COMMENTS,"NEW HUMAN CATEGORY
 0-1000 /4000-4468 Michael
 1000-2500 Mehmet 
 2500-4000 Aryamaan",SUB CATEGORY,COMMENTS,human category (Tarun),SUB CATEGORY,COMMENTS,NEW CATEGORY,keyword,human - category,human - Sub category,Comment,HUMAN CATGEORY_NEW(ARYA),location,COMMENTS (FROM PARIJAAT),Category,Sub-category
59,@AshJw86 @Bounce_BackLoan @HSBC Im still waiting 6 weeks later. Donâ€™t hold your breath,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,General,waiting,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',6 weeks,DELAY_BOUNCEBACK_LOAN,Manchester UK,6 WEEKS DELAY,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
73,"@RishiSunak #BounceBackLoans Applied in 2020 its now 2023 still waiting to hear from @HSBCUKBusiness @HSBC_UK heard what @LloydsBank are doing and Wow! Crisis shows you the ones to really help, also not got Furlough money yet either!",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce back loan,waiting,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',6 weeks,DELAY_BOUNCEBACK_LOAN,Wherever I lay my hat!,DELAY,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
76,Has anyone received funds or even been told if their #BounceBackLoans application is successful when using @HSBCUKBusiness @HSBC_UK as the lender?,General,,bounce back loan,General,,bounce back loan,,,,Bounce back loan,received,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,DELAY_BOUNCEBACK_LOAN,,DELAY,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
77,@Bounce_BackLoan any news/insight into how HSBC are doing? Donâ€™t seem to be hearing much about them turning the taps on!,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce back loan,waiting,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,kendal cumbria,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
82,"Hi everyone, this is Jimmy! I'll be happy to answer any HSBC banking questions or queries you have. ^JJ",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,customer_service issues,queries,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,UAE,,{'category': 'Reputation',subcategory': 'Good reputation'
134,"@HSBC_UK Thank you for failing to respond to my call 2 today. the requested DM, the repeated humiliation over my identity clarification and now locking my telephone banking Thanks 4 making lockdown 4 a wheelchair user unable 2 leave home so difficult",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,customer_service issues,thank you,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,,,{'category': 'Reputation',subcategory': 'Good reputation'
138,"@HSBC_UK I wish HSBC had been able to honour their dividend payments as so many loyal investors have felt very disappointed, especially after they had been previously advised of the due date of the dividend which sadly failed to materialise.",BAD REPUTATION,,,BAD REPUTATION,,,,,,bad_reputation,disappointed,{'category': 'Reputation',subcategory': 'Bad reputation',investors disappointed,,,,{'category': 'Reputation',subcategory': 'Bad reputation'
145,"@ArcticReed @HSBC_UK @RishiSunak Bounce back loans seem to be much simpler, friend of mine applied online yesterday and actually had the money today! Weâ€™re 6weeks into the cbils application, accepted two weeks ago, still no money ðŸ˜©",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce back loan,wait,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',6 weeks,,leigh,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
147,"@MartinSLewis Iâ€™ve been a sole trader for 20yrs,have been told I qualify for the Self employed scheme, but for the BB loan @NatWestBusiness havenâ€™t got off their arses to open a business acct in 40 days despite being told they were processing it over a dozen times, HSBC no acct needed yippee",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce back loan,wait,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"Gillingham, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
148,@StuR328 @Zahabriel @Hulstone @LloydsBank @RishiSunak @HSBC_UK What does this have to do with Simon Hulstone getting a bounceback loan?,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce back loan,queries,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"Torbay, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
161,"@cakalusa Hello Cakalusa! Thank you for contacting HSBC! The account will still remain open. We would definitely like to assist you with this. Please reach out to us via Live Chat on our home page at https://t.co/L0kP7Ni0Ya, or by calling 800-975-4722. We would love to hear from you! ^MD",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,General,account,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,,,{'category': 'Reputation',subcategory': 'Good reputation'
165,@DC82283585 @BizzyRascal @HSBCUKBusiness @FT @RishiSunak em aren't we entitled by law from a financial institution such as Hsbc of acknowledgement of our application for the bounce back loan ? doesn't the British Business bank curtail that in there regulations set down by the FCA that you have to acknowledge our request for funding ??,General,,bounce back loan,General,,bounce back loan,,,,Bounce back loan,queries,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',No reply,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
171,"@gina_b1989 @MartinSLewis @HSBC_UK Nice thought, but just checked and itâ€™s not. Thanks anyway.",General,,reply from customer,General,,reply from customer,,,,General,General,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,"Cheltenham, England",,{'category': 'Reputation',subcategory': 'Good reputation'
175,Good morning Twitter! Happy mid-week to you all. We are here to assist you with your banking queries. ^JP,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,General,queries,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,"Auckland, New Zealand",,{'category': 'Reputation',subcategory': 'Good reputation'
177,@CommonsTreasury HSBC Bounceback Loand Administration failed! they do not know who has applied or when they can make payments #BounceBackLoans,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce back loan,payment,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',Admin Failure,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
184,"@BBCNews HSBC Admin of Bounce back loans gas failed, they have no idea who has applied or when payments will be made &amp; they r having â€˜it issuesâ€™ #BounceBackLoans",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce back loan,wait,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',Admin Failure,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
185,"@DailyMailUK @Telegraph HSBCâ€™s Admin failed - They do t know who has applied (if u ring 4 update), have no idea when the payments will be made!! #BounceBackLoans",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce back loan,payment,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',Admin Failure,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
186,"@AshDMcarp HSBC is the worst, I tried calling today, after waiting for close to an hour, I was told the maximum time is now 5 working day. This is very stupid. And it upsetting.",BAD REPUTATION,,long waiting time,BAD REPUTATION,,long waiting time,,,,customer_service issues,wait,{'category': 'Reputation',subcategory': 'Bad reputation',waiting hour - delay in calls,,"New York, USA",,{'category': 'Reputation',subcategory': 'Bad reputation'
188,@mikeclancy1 @RishiSunak @prospect @bectu ** Ask if he is aware that HSBC have sunk (Administratively) with the Bounceback Loans and are failing to offer basic levels of service **#forgottenLtd,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,bounce back loan,unhappy,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',Admin Failure,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
195,"@HavenstoneAndy First Direct &amp; HSBC have 2.75% but only up to a maximum of Â£3600 i think. If you have ISA allowance available you are looking around 1% ðŸ˜¬ all cash rates are poor at the moment so if you are looking longer term, get into the markets as now is a good time..happy to speak offlineðŸ‘ðŸ¼",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,General,General,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,Hampshire/London,,{'category': 'Reputation',subcategory': 'Good reputation'
197,@HSBC_UK If you want the worlds worst mortgage lender use hsbc . These clowns put the wrong purchasing address on our mortgage application and cost us three weeks of moving as he doesnâ€™t do mortgages on Wednesday and Thursday Heâ€™s a mortgage advisor what else is he doing. Do not use,BAD REPUTATION,,,BAD REPUTATION,,,,,,Delay_in_mortgage,mortgage,{'category': 'Reputation',subcategory': 'Bad reputation',worst experience from customer (mistakes on mortgage),,,,{'category': 'Reputation',subcategory': 'Bad reputation'
201,"@vidsmith Thanks for your feedback, David. Have a look at the YouTube video below which should guide you step by step to deposit it. Also make sure that the cheque is on a dark background with plenty of light on it. :-) ^Dom",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,Good Reputation,thanks,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
203,We applied for a Bounce Back Loan Monday am @HSBC_UK @HSBCUKBusiness @RishiSunak &amp; havenâ€™t heard one word while other banks have already paid out. We bailed you out in 2008 yet you continue your corporate ineptitude &amp; greed. Why? We need help.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"Knighton, Wales",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
206,"@Hragy Hello, Debit cards are working normally and do not accrue interest. Thanks. ^NA",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,Good Reputation,thanks,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,"Cairo, Egypt",,{'category': 'Reputation',subcategory': 'Good reputation'
207,Happy Vesak Day. We will be back on Friday. Stay safe! ^KA,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,General,stay safe,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,Singapore,,{'category': 'Reputation',subcategory': 'Good reputation'
209,@Izzywizzyroos @HSBCUKBusiness Iâ€™ll drop HSBC a line. Thanks for flagging. Richard,General,,,General,,,,,,Good Reputation,thanks,{'category': 'Reputation',subcategory': 'General Response from customer (thanks)',General response,,North West Durham,,{'category': 'Reputation',subcategory': 'Good reputation'
210,@Bounce_BackLoan have you had any updates reg HSBC?,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,Customer Query,,bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"Preston, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
216,@justleeuk @cliveedwards10 @Ens_007 @HSBC_UK @LondOgrad @RishiSunak It's just their complete silence that is the worst. At least update your customers.,BAD REPUTATION,,,BAD REPUTATION,,,,,,bad_reputation,worst,{'category': 'Reputation',subcategory': 'Bad reputation',worst experience from customer,,,,{'category': 'Reputation',subcategory': 'Bad reputation'
218,"So @HSBC_UK now telling small business who have applied for Bounceback loans that instead of people getting approved and getting their money within 48 hours, they won't give a timescale due to volume of applications. Not good enough.",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',48 Hours,,"Tun. Wells, Norfolk & London",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
221,"@Bounce_BackLoan @HSBCUKBusiness @HSBC_UK Thank you, sorry If the answer is already here!",General,,bounce back loan,General,,bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,Taunton [UK],,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
224,@Bounce_BackLoan has any soletraders (NOT LTD COMPANIES) been paid out or at least had an email by @HSBCUKBusiness @HSBC_UK?,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',subcategory': 'General',N/A,,Taunton [UK],,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
226,@flap10 @Bounce_BackLoan Did you have a business or a personal account with HSBC?,General,,bounce back loan,General,,bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,Taunton [UK],,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
234,"Just received the email from @HSBCUKBusiness for the #bouncebackloan All signed and sent. Hoping lots of you have also now receivedðŸ™ðŸ» I applied Monday, heard nothing after that, then email appeared today to sign. Good luck!@Bounce_BackLoan #hsbc",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
241,"@rae7373 Hey, Rachel! We'll be happy to help. You can call us on 03456 002 290 that will take you directly through to one of my colleagues that deal with Online Banking. For the PIN, you can just call the General line 03457 404 404. ðŸ˜Š ^Desi",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,Good Reputation,happy,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
247,Thats two now for HSBC so confirmed they are paying out today #bouncebackloans https://t.co/Jfqz0lzAUQ,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',Pay out,,12 Downing Street London,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
249,"@Bounce_BackLoan next question, my HSBC bank acct now has a BBL account with how much I requested but I canâ€™t draw the funds, havenâ€™t had to sign any additional emails, is this the case for others and if so, when has the funds been available to use?",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
250,"@Bounce_BackLoan @EvoSupplies1 @Naseinternatio1 @BrianMyrieSalsa I have heard HSBC are working over the weekend and seems like they were working yesterday too, I'm expecting that they might start picking up applications faster now",General,,bounce back loan,General,,bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
251,"@Bounce_BackLoan Someone on my facebook said they applied to hsbc on monday, not heard anything , rang them and they hadn't received it so she had to apply again. Despite having the 'you've submitted your application' screen. Could be an issue for some it seems.",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
252,"@Bounce_BackLoan Anyone applied later than monday that have received the loan? I applied on Friday after being a bit hesitant, my business account isn't with HSBC but I have personal banking with them",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,United Kingdom,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
253,@Bounce_BackLoan Thanks! Fingers crossed everyone gets an update soon. Grateful for the help but lack of communication from HSBC has really messed my head up on top of a very stressful time. Thanks to you for giving people a place to share experiences and info! Doesn't feel like we're so alone x,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,Bounce Back loan,bounce back loan,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,,,{'category': 'Reputation',subcategory': 'Good reputation'
255,HSBC paying it appears #bouncebackloans any more paid let us know https://t.co/T1FMyNs8yQ,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,Bounce back loan queries,bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,12 Downing Street London,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
257,"Breakdown from application to receiving funds.
 
 04/05 10.30am- Applied for BBL
 07/05- BBL acc created
 08/05 2pm- Docs to sign received
 09/05 11.30am- Received BBL funds! Finally! Hsbc are paying out on Saturday. @Bounce_BackLoan #bouncebackloans",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,Bounce back loan queries,bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
275,@Cam_Baxter Hi Cam. Glad that it is all sorted now. Thanks for letting us know ðŸ‘ ^Malcolm,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,Good Reputation,thanks,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,"London, UK",,{'category': 'Reputation',subcategory': 'Good reputation'
283,"@harshcasm Hello Harish, thank you for writing back to us. For Online Transactions on Credit card you get the OTP in 2 Modes. 1) SMS to Registered mobile Number, 2) To Registered Email ID. Kindly check. If still the problem persists, please call phone banking for maintenance. ^Lalitha",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,customer_service issues,still the problem,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,"Mumbai, India",,{'category': 'Reputation',subcategory': 'Good reputation'
288,@BilaltoursLTD @Bounce_BackLoan We and @BDCommodities applied via Chrome and Safari respectively. Both received docs to sign by email. We now have funds. @BDCommodities still awaiting money but BBL a/c has appeared in @HSBC app. Both applied on Monday.,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',awaiting,,"West Mersea, Essex, UK",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
289,@jayjayuk85 @Bounce_BackLoan @paulkendall53 @ClaireLYoung @HSBCUKBusiness @HSBC_UK @Barclays @santanderuk Same here ðŸ¤·ðŸ»â€â™‚ï¸ but Iâ€™m with Barclays,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,General,General,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,UK,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
292,"@magicdario @LBofBromley @HSBC_UK @HSBC Thanks very much. I will do that. I feel like I'm checking my emails every 5 minutes, just in case!!",General,,,General,,,,,,Good Reputation,thanks,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,Beckenham,,{'category': 'Reputation',subcategory': 'Good reputation'
299,"@harshcasm Hello Harish, thank you for writing into us. Due to lockdown situation the courier team have stopped their services. Request you to kindly wait until the lockdown Lifted. Alternatively you can log in to net banking for tracking the transactions &amp; statement download. (1/2)",Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,Good Reputation,thanks,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,"Mumbai, India",,{'category': 'Reputation',subcategory': 'Good reputation'
302,"@Bounce_BackLoan applied with HSBC 940 Monday morning. 
 Account opened on online banking yesterday afternoon
 Email arrived 1040 today. Easy to complete and you get an email copy once you sign it. 
 Will keep an eye out for funds and keep you posted",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,Bounce back loan queries,bounce back loan,,,,Bounce Back loan,bounce back loan,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,"North East, England",,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
303,@mrminig @HSBC_UK Brilliant thanks mate! Let's hope they can help us out. Got denied the initial loan and I cant claim Furlough leave as my payroll is done yearly and after the in April... they wanted it before the 18th of March to be eligible. Jokes,Customer Service Response,,customer service reply,Customer Service Response,,customer service reply,,,,Good Reputation,brilliant,{'category': 'Reputation',subcategory': 'General Response from Bank (thanks)',General response from bank,,,,{'category': 'Reputation',subcategory': 'Good reputation'
311,"@Bounce_BackLoan @PaulChantler @AnneBoden Not surprised to hear that. A non-HSBC customer said was sorted out swiftly last week. Iâ€™ve been with HSBC 32 yrs, canâ€™t get anywhere. Just not acceptable. HSBC should have thought first before opening the door to all. Not smart to bag up new customers by annoying current ones.",DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',N/A,,,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
319,@paulkendall53 @ClaireLYoung @Bounce_BackLoan @HSBCUKBusiness @HSBC_UK @Barclays My friend got his within 24 hours via @santanderuk,DELAY,Delay_in_bounce_back_loan,delay in bounce back loan,General,Bounce back loan queries,bounce back loan,,,,,,{'category': 'Bounce back loan',{'subcategory': 'Bounce back loan',,,UK,,{'category': 'Bounce back loan',subcategory': 'Bounce back loan delays'
