,comment
34,Jalou CaÑeda Guinto 
35,"From my experiences, I've learned to control them (most the time) and to not fear the known. What I would like to learn is how to return to a particular dream unfinished."
36,I have difficulty to interpret some my dreams and then i get all caught up in my mind trying to figure out what it means.then the benefit of the dream or action of trying to understand is lost.
37,Is there anything I can do to help myself to have lucid dreams?
38,Every thought of light destiny truth gate is self discipline of light I don't have aney dreams because of light power of soul by lol are truth of light i focusing human soul daily loving life parfait though light on destiny truth of light your on self though of light this meteriail world and figical body it not my dreams I know lol are truth of light darection though of light by my mastar detection it is truth of light undarstud it you opportunity living daily loving life peace full soul poure love it every day kip mind controls of thought of light destiny truth gate soul to supreme  soul direction wisdom of light thinks your post
39,"The meaning of them? 
Or knowing what to look for in a lucid dream. "
40,You know I want to live my life over in my dreams in a more supportive way than it has been in reality. That is the place to visualize the best!
41,Is it similar in any way to Astral projection?
42,"Don't sleep but you're already having insomnia.
😅😅😑😑"
43,What is a lucid dream?. I don't even dream.
44,I don’t dream!
45,What is the purpose of them?
46,I want to be businessman 
47,I can't wait . Thanks .
48,How I can have them. 
49,My dreams are generally bad
50,How to make it happen in real life
51,How to control them
52,Following;
53,Muy buenos días estoy muy ad
54,💕
55, Jalou CaÑeda Guinto 
56,Kimberly Franklin Cole 😊
57,"𝑯𝒂𝒗𝒆 𝒚𝒐𝒖 𝒂𝒔𝒌 𝒚𝒐𝒖𝒓𝒔𝒆𝒍𝒇 𝒉𝒐𝒘 𝒕𝒐
𝒃𝒆𝒄𝒐𝒎𝒆 𝒓𝒊𝒄𝒉,  𝑵𝒐𝒘 𝒂𝒔𝒌 𝒚𝒐𝒖𝒓𝒔𝒆𝒍𝒇 𝒕𝒉𝒊𝒔 𝒒𝒖𝒆𝒔𝒕𝒊𝒐𝒏: “𝑾𝒉𝒂𝒕 𝒂𝒄𝒕𝒊𝒐𝒏𝒔 𝒄𝒂𝒏 𝑰 𝒎𝒂𝒌𝒆 𝒕𝒐𝒅𝒂𝒚 𝒕𝒉𝒂𝒕 𝒘𝒊𝒍𝒍 𝒄𝒉𝒂𝒏𝒈𝒆 𝒆𝒗𝒆𝒓𝒚𝒕𝒉𝒊𝒏𝒈 𝒂𝒏𝒅 𝒕𝒂𝒌𝒆 𝒎𝒆 𝒄𝒍𝒐𝒔𝒆𝒓 𝒕𝒐 𝒕𝒉𝒊𝒔 𝒈𝒐𝒂𝒍? 𝑩𝒆 𝒅𝒆𝒕𝒆𝒓𝒎𝒊𝒏𝒆𝒅 𝒂𝒏𝒅 𝒃𝒆𝒍𝒊𝒆𝒗𝒆 𝒊𝒏 𝒚𝒐𝒖𝒓𝒔𝒆𝒍𝒇. 𝑷𝒆𝒐𝒑𝒍𝒆 𝒘𝒊𝒍𝒍 𝒓𝒆𝒔𝒑𝒆𝒄𝒕 𝒚𝒐𝒖 𝒇𝒐𝒓 𝒉𝒂𝒗𝒊𝒏𝒈 𝒕𝒉𝒆 𝒈𝒖𝒕𝒔 𝒇𝒐𝒓 𝒈𝒐𝒊𝒏𝒈 𝒂𝒇𝒕𝒆𝒓 𝒘𝒉𝒂𝒕 𝒚𝒐𝒖 𝒕𝒓𝒖𝒍𝒚 𝒅𝒆𝒔𝒊𝒓𝒆 𝑰 𝒊𝒏𝒗𝒆𝒔𝒕 𝒂𝒔 𝒍𝒊𝒕𝒕𝒍𝒆 𝒂𝒔 $300 𝒘𝒊𝒕𝒉 𝑴𝒓s Lorenza Martins 𝒂𝒏𝒅 𝑰 𝒋𝒖𝒔𝒕 𝒓𝒆𝒄𝒆𝒊𝒗𝒆𝒅 𝒎𝒚 𝑷𝒓𝒐𝒇𝒊𝒕 𝒐𝒇 $3000 𝒚𝒐𝒖 𝒄𝒂𝒏 𝒄𝒐𝒏𝒕𝒂𝒄𝒕 𝒉𝒊𝒎 𝒔𝒐 𝒚𝒐𝒖 𝒄𝒂𝒏 𝒆𝒂𝒓𝒏 𝒈𝒐𝒐𝒅 𝒑𝒓𝒐𝒇𝒊𝒕.
👇👇
Lorenza Martins "
58,It's me!😅🙏🏼
59,Lucid dreams❤️ m excited 
60,Charlie Morley - lucid 😴
61,welcome 🙏 Mr...
62,"Charlie Morley 
Author of Lucid dreaming"
63,"Only until tomorrow, you can sign up for her intensive 3-day workshop. 🙇🏼‍♀️
⠀
Go to this link and take the first step to your biggest breakthrough in attracting the love of your life: https://go.mindvalley.com/lnYzJ4XZ👆🏼"
64,Thanks.i have 3 pose every morning!!plus always sky..from my windows!!positive!!thanks dear!!!all must be ok.
65,Why this course isnt in spanish? D=
66,Racing..in my mind!!!too!!!
67,Happy Morning
68,😍
69,🔥👌
70,.
71,Sumona Bose
72,Priscah Kahuku
73,Ramya Padbidri Molahalli
74,"𝑯𝒂𝒗𝒆 𝒚𝒐𝒖 𝒂𝒔𝒌 𝒚𝒐𝒖𝒓𝒔𝒆𝒍𝒇 𝒉𝒐𝒘 𝒕𝒐
𝒃𝒆𝒄𝒐𝒎𝒆 𝒓𝒊𝒄𝒉,  𝑵𝒐𝒘 𝒂𝒔𝒌 𝒚𝒐𝒖𝒓𝒔𝒆𝒍𝒇 𝒕𝒉𝒊𝒔 𝒒𝒖𝒆𝒔𝒕𝒊𝒐𝒏: “𝑾𝒉𝒂𝒕 𝒂𝒄𝒕𝒊𝒐𝒏𝒔 𝒄𝒂𝒏 𝑰 𝒎𝒂𝒌𝒆 𝒕𝒐𝒅𝒂𝒚 𝒕𝒉𝒂𝒕 𝒘𝒊𝒍𝒍 𝒄𝒉𝒂𝒏𝒈𝒆 𝒆𝒗𝒆𝒓𝒚𝒕𝒉𝒊𝒏𝒈 𝒂𝒏𝒅 𝒕𝒂𝒌𝒆 𝒎𝒆 𝒄𝒍𝒐𝒔𝒆𝒓 𝒕𝒐 𝒕𝒉𝒊𝒔 𝒈𝒐𝒂𝒍? 𝑩𝒆 𝒅𝒆𝒕𝒆𝒓𝒎𝒊𝒏𝒆𝒅 𝒂𝒏𝒅 𝒃𝒆𝒍𝒊𝒆𝒗𝒆 𝒊𝒏 𝒚𝒐𝒖𝒓𝒔𝒆𝒍𝒇. 𝑷𝒆𝒐𝒑𝒍𝒆 𝒘𝒊𝒍𝒍 𝒓𝒆𝒔𝒑𝒆𝒄𝒕 𝒚𝒐𝒖 𝒇𝒐𝒓 𝒉𝒂𝒗𝒊𝒏𝒈 𝒕𝒉𝒆 𝒈𝒖𝒕𝒔 𝒇𝒐𝒓 𝒈𝒐𝒊𝒏𝒈 𝒂𝒇𝒕𝒆𝒓 𝒘𝒉𝒂𝒕 𝒚𝒐𝒖 𝒕𝒓𝒖𝒍𝒚 𝒅𝒆𝒔𝒊𝒓𝒆 𝑰 𝒊𝒏𝒗𝒆𝒔𝒕 𝒂𝒔 𝒍𝒊𝒕𝒕𝒍𝒆 𝒂𝒔 $300 𝒘𝒊𝒕𝒉 𝑴𝒓s Lorenza Martins 𝒂𝒏𝒅 𝑰 𝒋𝒖𝒔𝒕 𝒓𝒆𝒄𝒆𝒊𝒗𝒆𝒅 𝒎𝒚 𝑷𝒓𝒐𝒇𝒊𝒕 𝒐𝒇 $3000 𝒚𝒐𝒖 𝒄𝒂𝒏 𝒄𝒐𝒏𝒕𝒂𝒄𝒕 𝒉𝒊𝒎 𝒔𝒐 𝒚𝒐𝒖 𝒄𝒂𝒏 𝒆𝒂𝒓𝒏 𝒈𝒐𝒐𝒅 𝒑𝒓𝒐𝒇𝒊𝒕.
👇👇
Lorenza Martins "
75,Thanks
76,"Trenton D. Vaughn 
Jasa Kali Fitts "
77,"Omri Elliott 
Kearstin Hart "
78, KF Cruz 
79,"I can't believe Vishan os hosting this person. I was a flight attendant and had her as a customer. Never in 11 years of flying had I seen a more entitled, rude person, who treated her staff like slaves. I'm disgusted by her"
80,"Depression, anxiety, sorrow, guilt is now common today every single person going through this phase because of higher expectations and competition, and don't think all celebrity who on top is only with hardwork there shady side of showbiz which they never reviled. I can't believe they invite this person on this platform which she totally unqualified"
81,I agree both happiness and sadness passes but it is we who are responsible to force sadness to pass away..it won't on its own..no one else can do it for us. Similarly we have to credited for the great deed if makung happiness pass away too..we can hold onto it..there is always an option..always a choice..and we choose to let it pass away
82,I needs to hear this today. I am exactly where I need to be. 
83,Absolutely ! It was during my battle with cancer that I faced depression land mines I have to strategically dance over. I was reborn because of it and I truly live and love better today! CANCER SAVED MY LIFE
84,This is a war-mongerer. Not surprised MV chose such an individual. Problematic lens appeals to problematic lens. Spiritual bypassing attracts the same.
85,"So Very True...Sadness, Anger & Loss are just Part of life just like Happiness😁♥️

They all play part in making us more stronger & Wiser 🧿"
86,"I not understand, what abt they talk, but I want, have on Russian language?? 😁"
87,"I did not find anything new..
We all know what she said its called ""life"""
88,"Time does not heal all, you learn to live with the pain and call it living. You get complete by the transformation in your view of life"
89,I'm a member. Where can I watch this?
90,So beautiful I love thisssss 🙏❤🙏❤🙏❤❤❤
91,Did she listen to Ariana’s song and believe God is a woman?
92,"Exactly, she didn't say anything new or insightful. Others have said this many eons ago!  "
93,Pathetic choice by mindvalley..lost respect for hosting her as guest..
94,I love her
95,What makes her an authority on Sadness?
96,Love this
97,Happy Morning
98,True words! 🙏🏻
99,It”s amazing 
100,Mulțumesc ptr sfat
101,Roltan actions
102,
103,Yoganantha Kanagasabai
104,"It's going to be an intensive 3-day workshop where you will uncover and clear those childhood patterns that build barriers between you and the soulful love you desire.
⠀
☝️ Sign up through this link and learn how to break free from these mental blocks once and for all: https://go.mindvalley.com/lnYzJ4XZ"
105,"Genuine, Faithful, Loving 💖💖💖"
106,"Right will attract the Right by every and just any means ♥️....What will matter at the end is the “means & ways” we choose to have our Right and same will determine the rest of the course of our Lives😁

Afterall we can’t FAKE Happiness & Lose....
Inside Us we all know what we are...And thatswhat gives Us REAL Strength😁"
107,"Loving, caring, encouraging "
108,"Grounded, Passionate, Loyal"
109,"1.The upward glance.
2. They are reverence.
3. Freedom is embodied. "
110,"Devoted, nurturing, and genuine."
111,"Kind, Loyal and Passionate"
112,I love him xxx
113,Missing In Action
114,"Desicive, strong, humorous, understanding, kind, trustworthy, nourishing to my nervous system and soul. And I can go on for a long long time🙏"
115,"Kind, loving add supportive"
116,"God knowing, healthy, happy"
117,"Understanding, caring,honest"
118,"Fun, friendly and healthy"
119,"David Charles Cesen. 
😉😉🥰🥰Married 35 years "
120,I love him
121,Pure Source Energy
122,"Beautiful, loving, honest"
123,"When you're despised by a group and found your safe haven. Only a pure can get through it or either a very malicious one.
🍇🍇🍇🌮🌮"
124,"kind, generous, loving"
125,Caring and curious.
126,Does Not Exist 
127,Loving responsible loyal
128,"Loving, kind, faithful"
129,"It’s an opportunity to learn and grow and understand. I love it and I love the history. For those who say it means nothing, it’s time to take down your confederate flags. "
130,"A huge opportunity to educate ourselves on Black history. I love it; and am equally saddened and disturbed by what I learn. As a ghost writer, I have  a few Black clients, so I'm learning all year long. You learn fast when you work closely with others -- and listen to them; and then explore further on your own and never stop. <3  "
131,"A time to learn about history, the black culture, racism (including awareness of my white privilege) and the many contributions and gifts and talents of black peoples especially Americans."
132,Do show black history.. but first American children should be taught in detail native American history the real natives of the American land and shown in television accordingly 
133,"I always thought that Black History Month was in celebration of the accomplishments of African Americans in our history. We all came here in different ways- some sent as punishment; some came and fought for independence; some as indentured servants; some were sold to traders and purchased as slaves; some seeking a better life from oppression. Each group contributed something unique to the building of our great country, and those contributions together form the opportunities and freedoms that we all enjoy today."
134,"The movement, history (Martin Luther King great example) reminder to stay humble"
135,It means that I get to remind my brothers ans sisters the privilege we have to live in an era that was once a vision for my ancestors that risked their lives and paved the way for us to be able to walk  and embrace our diverse nature and share mother earth with one another United once and for all eventhough we are still fighting it's a reminder for us all to never forget where we came from and the  essence of history
136,"Black History “Month” is just a reminder to me of my everyday, 365 day a year, 12 MONTHS per year journey as a descendant of enslaved Africans who BUILT this country and are and continue to be, an integral part of the history of the United States of America.  From enslaved Africans to entrepreneurs.  From oppressed and excluded to inclusive and successful.  The fabric of culture in the United States could NOT be what is today, and what we all know it to be, and experience it to be, without recognizing and embracing the contributions of our people.  “Black” History is the United States of America’s History.  The two can NOT be separated."
137,"There shouldn't have to be ""black history month"" or ""indian"" ""mexican"" ""asian"" etc. history, because it should ALL be taught together, because it is ALL our history!"
138,It means having genuine conversation about the African people and the African continent. It's fostering healing. Retelling the African story. It's taking responsibility on the part of the West and loose the neo-colonial grip that is still chocking Africa through sponsored war and oppressive policies. It's accepting responsibility that too much damage was done by the West that eroded Africas Human dignity. The indoctrination and brainwashing can only be eliminated by right education in our schools.
139,"We did not yet have Black History month when I was in school.
I have much to learn, at 64."
140,It means acknowledging the systems of oppression that black people were and are under and emphasizing the need to fix them
141,it's a chance to learn things and form a more complete understanding of another's experience. it's also a chance to show support for a more inclusive and respectful society
142,"It is a reminder how divided we still are, and that until we start celebrating human history month, nothing will ever change."
143,More blatant racism
144,Morgan Freeman on Black history month with Don Lemon. I agree with Mr. Freeman.
145,"America had failed our people .  Yes a celebration /awareness should be BUT why. Were we all taught  untruths where POC  had not lived . 
America is the land of opportunity-  POC havens been discussed in history  
Why. (Rhetorical) 
I am glad that  black history is being celebrated . But inform and change  history books to reflect  all POC 
❤️"
146,So much ignorance here. 
147,".
His story 
like all others 
can be viewed from many perspectives"
148,A good time to listen; w the intention to hear rather than respond. 
149,It means that black history is only promoted 1/12 of a year where as it should be 12/12 of a year.
150,F**  all we are still here making history. Ain’t no one subjecting me to one month a year 
151,It means that black history still isn't being taught enough in schools if it was would we need a single month out of 12 to ensure people have an understanding of black history?
152,We should commemorate very promising lives cut short and destroyed by incarceration.
153,World history month- we should let go of the cultures and differences and just love ❤️
154,Self hugs
155,Roltan actions
156,
157,Thanks
158,"Her methods will lead you to put your past to rest and see the inconsistencies that have been sabotaging your love life.
⠀
And, of course, you'll learn how to dissolve these obstacles once and for all. ✨
⠀
Sign up here and become a magnet for the kind of soulful love you deeply desire: https://go.mindvalley.com/lnYzJ4XZ"
159,Truth HAHAHA.
160,Thank you !
161,Thank you 
162,"Mindvalley  do I need to take down your servers to get me serious? Take me out from your scamming email list that I a,ready opted out. Frakers"
163,That's interesting what you say...in India they also bless their money...when a shopkeeper receives money from the first sale of the day he/she usually takes the bill or coins to his/her forehead and lips to bless it...If it's a big bill...he/she does the same....🙂
164,"Thank you, Vishen, for sharing. We must have gratitude and be thankful for our earnings and income.💕🙏💕"
165,Did you ever hear about Krishna?? Have you ever studied Bhagvat Geeta?? If you get time you will be surprised to know how developed our ancient culture was and all our rituals are based on science only. I think mindvalley can accept and apply some knowledge from Bhagvat Gita.
166,"Vishen , your are Awesome! This video is what made me join Mindvalley! I Love it! Life changing! Arigato! Arigato! Arigato!"
167,I just had the aha moment thank you 🙏 
168,As someone who shops too much I think this could definitely help me because I would think to myself can I genuinely thank the money for leaving for this product? Most of time answer would be no so that would make me more conscious of my spending. I will think of what products I can thank my money for going to.
169,
170,Arigato for the all money i had expend and i hope to recieve it back because i have appreciation  😊
171,Exactly😊😃💕
172,"Man, this is such an interesting way of seeing things! Good to know!"
173,I have recently experienced and realized it too! Thank you for this🙂
174,"Always, you taught me that Vishen 🙏🙏"
175,"When Ken Honda speaks about mOney, I listen..;) !"
176,Thank you
177,Appreciation ARIGATO
178,Ronak Vora Watch this 
179,Oh really that's good thanks my big brother
180,This sounds like The Secret. Also would this be harder paying by card?
181,"Awesome,,,"
182,Think of thanks always.
183,
184,Andrew Maharajh thought you would like this...
185,
186,Too good! :)
187,Jane Maret Capuli April Capuli Alegre CoachFrancis Joseph Rotchel Lanciola Arabe Richard Mercado Atienza Galvan Emer DQ
188,"Don't miss out on the this online 3-day intensive workshop to guide you to create your biggest breakthroughs in attracting true love into your life: https://go.mindvalley.com/lnYzJ4XZ

See you there!
"
189,
190,"Consiousness. It will kick in at the right time. It is not something fancy and forced on someone. It will happen to anyone as simple as the feel of the morning sunshine is different from the usual. It floats into the air, absorbed with new energy flowing thru the awakened spirit  from your  deep sleep. 

Being used to the plain, repetitive lifestyle this worldly dimension has exposed us to learn lessons of life and being, it is an inner knowing that you are already  traversing in the labyrinth of your subliminal  subconscious."
191,I want to move 1-2-3-4 bt i dont know what actually my current beliefs are i am 17 year old bt i want to use my max potential in a worthy and a new way
192,"Why stop at level three which is rewiring your belief system, there should be a level four, rewiring your mind and reprogramming your DNA so that you become something much greater, naturally feeling good emotionally, easially able to experience extreme pleasure, and a high level of enlightenment, changing existence itself, having fun achieving happiness on an extreme level is the next step in human evolution."
193,"Whatever you think it is, you are always a level below - I listened and I retained that!! ❤️ "
194,Back-and-forth between two and three
195,When level sounds wrong
196,I am at level 4
197,"I was in 2 before mindvalley and the book 

Think i'm floating around level 3 now"
198,3 working on getting to 4 
199,Between 2 and 3 .....
200,2
201,3
202,1 moving into 2
203,4
204,I am all
205,Nelda Garcia
206,Im at 3 or 4
207,level 2
208,Tampo Allen
209,Tarakorn Kamolprempiyakul เท่ดีครับคอนเซปนี้
210,Lisa Williams 
211,"And if you want to try your hand at interviewing one of these inspirational people yourself... 🎙👀
⠀
Keep an eye out for the live-call takeovers we'll be amping up for Mindvalley Members in 2021 - shoutout if you've already seen our interviews with Matthew McConaughey or Priyanka Chopra.
⠀
P.S. Don't forget to pick up a copy of ""A Woman Makes a Plan."" You can thank us later 😉"
212,"So true...if you can be anything in this world, be kind. Contagious and goes oh so far. Such a moving, powerful interview, this one.😍💜"
213,"An inspiring mom! I like her as a role model for every mom. If every mom could teach kindness to their children, think how amazing our world could be! Very inspiring !"
214,What a beautiful woman.  
215,This was such a great interview
216,Such a beautiful woman and a powerful role-model.💜💖
217,Beautiful mama....such a humble woman❤
218,"I'll guess that it didn't have anything to do with being a descent human being and treating those you rely upon, a.k.a. your employees, decently."
219,Very inspiring...
220,Tin Tina There is something about her that makes me remember you. 
221,Incredible!!!
222,Thank you for sharing Mindvalley 🙏🏻🤩🌍💖💫
223,Watch out for this group!! They scammed my sister!!
224,Wow! Can’t wait to read this.
225,Kaja Lycke
226,❤️
227,Jurate Rukstelaite
228,👍👍👍🙏🙏🙏
229,Julia Grintsina
230,Monica Pais 
231,"Hariss Khan 
Hariss Aliff ❤️"
232,Holly Cooke Kathryn Stephens
233,Gagan Sabharwal Vikram Khandpur 
234,Shalu Kohli Gurpreet Kohli 
235,Reetika Madan Khanijou 
236,This illustrates the platform that I'm involved with right now.  It's an educational platform for entrepreneurs which allows people to earn money while they learn skills.  Valuable skills to help build and grow spiritually and to rid ourselves of paradigms which no longer serve us.  The Freedom Era is somewhat like MindValley in that we attract some of the greatest minds to teach us to uplevel and become better human beings but we have the advantage of leveraging social media at the same time while doing so.  I love what you are doing with MindValley.  You have helped me so much.  I go to bed every night and wake up every morning to Jose Silva's meditations.  Thank you for introducing me these concepts.
237,I’m an educator and I agree 100% in what  Matthew says. Words of wisdom from a well experienced individual. Excellent.
238,"Matt, 

Love your view on education. I totally believe school needs to look different. But we need to start in the right place. Teach our teachers to do a new way. They get stuck in the rut of doing things the old way. My son is Autistic and not one darn teacher he has had can teach him anything but me. Thank God I was able to stay home with him and teach him the things he needed to know.  But how many mothers out there cry themselves to sleep wishing they could do more for thier children. I was on of them until I spent the 2nd chapter in my life helping my kiddo and many others kiddos for free. My sin will not graduate the same as everyone else's kids. He will hVe to opt for a GED because our educational system sucks in every way.   I wish I could change the world. Because my son is perfect the way he is. Thanks for always being so open to help others. It warms my heart that there are still people out there willing to help others. "
239,"His book “Greenlights” is a fantastic read, highly recommend. 👍"
240,Matthew- look up and hook up with Ted Dintersmith.  His support for schools on Molokai and across the country have allowed many of us in the trenches to create much more meaningful things our kids will remember and take with them forever.  Put it into action!
241,Very profound and powerful 
242,Awesome 👏 🌟
243,Particularly in my field of engineering a university degree purely shows you have the ability to learn. It constitutes 1% of what you need in the working industry. Attitude and desire to apply yourself is what makes the individual successful in the workplace. Its a grind and its tough. Any graduate that comes out of the system and expects to gifted a job is going to be left behind.
244,This is why my 3 yr old attends Montessori and will learn by doing and from exploring the world 🌎😊
245,It would be great to have a session with you 🙏
246,Glad to see you on mind valley. Looks like you are one of the good ones from holly wood. ❤️amen ❤️
247,Thank you!
248,It makes so much sense!
249,Love him!!!!
250,Scott Feld this! 👏
251,Love this!
252,Yep
253,Well said 👏🏻👏🏻👏🏻
254,Wow!
255,Absolutely true 
256,👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏
257,"It must be more of learning Than teaching 
"
258,I think you need to be educated.
259,😱 i agree with this 💯 %. But how????🤔 what should i do to my 10 years child. Out off from school??? I confused 🤷‍♀️ 
260,Speak truth Matthew!   
261,"Accept, respect and compassion"
262,Thank you!
263,"Thank you, keep your love 😭"
264,Life 💗🌱💗
265,"John 14:20
😂😂😂"
266,54
267,"Click this link to find out what your ""goal animal"" is. 🦏: https://go.mindvalley.com/-UFgHDUX"
268,Thank you!
269,Lucy Boreham this is so good!!
270,"I have to keep listening  to your video  
💗"
271,❤️💜
272,Thank You
273,No mention of a light saber anywhere!
274,Thank you!
275,Thank you!!
276,Theany people of the country is berry poor so I give my work  ty people of the country  I am so sad  the polipino  people no success to my best   hope my waywork of to people  cuontrys one day work  no eat so I aimsad
277,Had a big purpose with you Vishen! Got horribly spiritually attacked by the left and they took all my spiritual power away.
278,Gracie Koziatek 
279,Bradley Mason
280,🇭🇹🇭🇹👌
281,
282,"I try to contact that company for 3 weeks now , they let me run in circles . May be somebody can help me. "
283,Won’t let me reserve my spot 🙁😢
284," A Hawk. 
"
285,Did you listen to the video?
286,"For fitness goals??? - PANDA

Fitness entire noodle bowl in my mouth

I’ll see myself out
🚪🚶🏼‍♂️"
287,Rabbit 
288,Thank you!
289,"Hi please forever and you can help me with this book and I hope you're happy with the experience 
Thanks"
290,i am a leo and roar like a leo from inside|out! 
291,Bull. Hmmm...
292,🐼
293,🐼🐶
294,Which one just wants to take a nap?
295,Bull🐃
296,"Ive been trying to reach the company to request a refund for two weeks now. called, emailed no responds.  im gonna to have my bank take care of the matter at this point."
297,Kellie Schmidt Garis
298,🐰
299,Slug
300,Soi el gato ! :P
301,… and don’t forget to leave a funny comment for our next video 💬
302,Love You.  Maybe not so much your hand waving.  BUT you are so sincere in helping others to be as successful as yourself.
303,"Not easy to get in touch with Mindvalley at all. Have resorted to commenting on here to get my views heard. I watched the masterclass with Vishen, John and Missy about the Lifeplan course. It was very misleading to say that the  course was being offered for free, when in fact you had to pay the fee first, complete the course and then apply for a refund. That is not my definition of free and very disappointing for someone like me who  cannot afford the fee required. I feel this should have been made clear from the outset, not after having watched so much of the masterclass in vain."
304,I just like to comment that this company is very hard to contact. So be careful.
305,"Your video on Arigato In and Arigato out is what what made me join on Mindvalley. I Love it! I keep adding classes! I am taking your Silva Ultramind System! It has been Life Changing! It was exactly what I was looking for! Arigato, Arigato, Arigato! 🙏🏻🙏🏻🙏🏻🙏🏻❤️❤️❤️❤️ By the way, I love that you use your hands! Whoever made that comment has a problem and it is NOT you! "
306,I love when you use your hands!
307,"Hi Vishen... need guidance, how to get in touch with you, thx. "
308,"What a fun and quite hilarious video!
Cheers to levity🙌🙏❤️"
309,Your hands are mesmerizing Vishen!! 🤣🤣
310,"So Today you are in India, am super excited"
311,Hi Vishen So I would like to say that I have joined the mind valley University and in a week I have already turned my life around so thank you for that don’t stop using your hands because I am that visual person but I would like to ask how much is it for a one to one LOL
312,Vishen I would like to say that it was really nice to hear that mindvalley is now going to start expanding in india.
313,"You are amazing Vishen, I am learning a lot from you and the beautiful people surrounding you, thank you for keeping lighting souls!"
314,Amazing! 
315,I truly loved your reactions...
316,you are the best  
317,Super .I would like to be part of mind valley India family. How can I?
318,"This weekend (Saturday and Sunday) at 12pm Eastern / 9am Pacific, a new edition of free Unsinkable All-Day Online Conference is going to be airing at http://bit.ly/FREE-2021

Many of the top bounce back experts, teachers, and inspirational speakers will share their latest methods for manifesting:
1. Sonia Ricotti: HOW to Bounce Back BIG in 2021!
2. Bob Proctor: How to Shift Your Paradigms and Reprogram Your Mind
3. Lisa Nichols: Winners Never Quit: Rising Above the Impossible
4. John Assaraf: Innercise - The New Science to Unlock Your Brain's Hidden Power
5. Marci Shimoff: The Secret to being Happy (Even When Life Isn’t Perfect)
6. T. Harv Eker: Finding YOUR Big Financial Opportunity During These Difficult Economic Times
7. Les Brown: Mind Over Health - The Magic of Believing (How to Live a Long and Happy Life)
8. Sonia Ricotti: The 6 Steps to Manifesting Money in 2021
9. MYSTERY GUEST: Soar to the Top - Transforming Adversity into a Meaningful, Successful and Happy Life"
319,😊😁
320,"This is not funny, only a comment ..to be careful. It is difficult to make real contact with that company , and when you buy a course it will cost Tax, good to know for the people in Europe."
321,fake celebrity worship 👎🏼
